G,GS,MPG,FG%,3p%,FT%,OFF,DEF,RPG,APG,SPG,BPG,TO,PF,PPG,Class
362,223,24.4,466,405,800,0.6,2.1,2.7,1.5,0.5,0.3,0.8,2,8.8,1
19,0,11.9,273,298,970,0.1,1.1,1.2,1.2,0.4,0,1.2,1.4,4.6,1
1148,1140,36.9,452,400,894,1,3.2,4.2,3.6,1.2,0.2,2.2,2.3,20,1
466,170,19.8,482,284,745,0.9,1.9,2.8,1.3,1.2,0.4,1.4,2.2,7.8,1
38,1,9.5,381,292,743,0.3,0.9,1.2,0.3,0.3,0.1,0.5,1.1,3.1,1
70,19,18.3,413,381,827,0.6,1.3,1.9,1.1,0.3,0.1,1.1,1.7,6.7,1
77,4,11.5,380,325,757,0.2,1.1,1.3,0.8,0.1,0.1,0.6,0.8,3.7,1
552,455,35,421,351,803,0.8,3.1,3.9,5.3,1.6,0.2,3.2,3,20.7,1
282,142,26.8,407,374,876,0.3,1.7,2,4.4,0.6,0,1.6,1.7,10.9,1
208,84,24.2,459,409,770,1.2,2.8,4,1.1,0.6,0.5,1,2,10.5,1
588,109,24.6,461,391,823,0.4,1.8,2.3,2.4,0.9,0.1,1.5,2.2,12.5,1
356,56,18.2,429,358,803,0.3,1.6,1.9,3.3,0.4,0,1.4,1.4,7.6,1
255,202,26.2,460,372,836,1.2,2.7,3.9,1.3,0.8,0.7,1,2,10.2,1
229,36,18.2,412,350,822,0.3,1.5,1.8,2.8,0.4,0.1,1.4,2,8.1,1
137,54,17.1,452,332,815,0.3,1.8,2.1,2.1,0.8,0.4,1.2,1.9,8.1,1
287,148,21.5,424,393,796,0.2,1.5,1.8,1.3,0.6,0.1,1,1.5,8.9,1
706,479,28.1,434,406,799,0.6,2.2,2.8,1.7,0.7,0.2,1,2.6,9.9,1
1001,950,33.9,436,379,802,0.5,2.6,3.1,5.5,1.2,0.2,2.1,1.9,14.7,1
1002,908,32.2,416,389,894,0.5,2.5,2.9,5.5,1,0.2,2.1,2.1,15.5,1
631,304,24.8,404,387,785,0.3,1.8,2.1,3.9,0.7,0.1,1.4,1.5,6.9,1
